Word, Frequency, Frequency(%)
gray,21,0.01
fixed,21,0.01
kissed,21,0.01
louse,20,0.01
beat,20,0.01
familiar,20,0.01
difficult,20,0.01
revolver,20,0.01
hardly,20,0.01
prospect,20,0.01
hours,20,0.01
worse,20,0.01
wrapped,20,0.01
capital,20,0.01
shop,20,0.01
return,20,0.01
constantly,20,0.01
conscience,20,0.01
fellow,20,0.01
situation,20,0.01
nevertheless,20,0.01
shoulder,20,0.01
papa,20,0.01
figure,20,0.01
previous,20,0.01
officer,20,0.01
books,20,0.01
hanging,20,0.01
legal,20,0.01
fourth,20,0.01
detail,20,0.01
tired,20,0.01
theory,20,0.01
pulling,20,0.01
mention,20,0.01
unbearable,20,0.01
social,20,0.01
rich,20,0.01
threshold,19,0.01
chill,19,0.01
fantastic,19,0.01
material,19,0.01
stayed,19,0.01
force,19,0.01
useful,19,0.01
proud,19,0.01
spot,19,0.01
clean,19,0.01
peasant,19,0.01
lessons,19,0.01
cases,19,0.01
single,19,0.01
reasons,19,0.01
madam,19,0.01
fail,19,0.01
lives,19,0.01
space,19,0.01
imagined,19,0.01
lose,19,0.01
wet,19,0.01
forever,19,0.01
earth,19,0.01
windows,19,0.01
round,19,0.01
married,19,0.01
mentioned,19,0.01
partly,19,0.01
bowed,19,0.01
fat,19,0.01
worn,19,0.01
weeping,19,0.01
direction,19,0.01
pride,19,0.01
hook,19,0.01
understanding,19,0.01
except,19,0.01
sad,19,0.01
son,19,0.01
pensively,19,0.01
song,19,0.01
pressed,19,0.01
line,19,0.01
arkady,19,0.01
beg,19,0.01
circumstance,19,0.01
calmly,19,0.01
hastily,19,0.01
age,19,0.01
woke,18,0.01
sign,18,0.01
broken,18,0.01
depravity,18,0.01
finish,18,0.01
amazement,18,0.01
absolutely,18,0.01
silver,18,0.01
sooner,18,0.01
lieutenant,18,0.01
accept,18,0.01
church,18,0.01
blue,18,0.01
underground,18,0.01
drunken,18,0.01
surely,18,0.01
semyon,18,0.01
horse,18,0.01
gold,18,0.01
scared,18,0.01
soup,18,0.01
considered,18,0.01
quiet,18,0.01
entire,18,0.01
shout,18,0.01
whip,18,0.01
studying,18,0.01
fresh,18,0.01
dry,18,0.01
result,18,0.01
hurried,18,0.01
y,18,0.01
common,18,0.01
turns,18,0.01
stared,18,0.01
instantly,18,0.01
faces,18,0.01
subject,18,0.01
irritably,18,0.01
hidden,18,0.01
spend,18,0.01
utterly,18,0.01
trembled,18,0.01
v,18,0.01
wild,17,0.01
slightest,17,0.01
grief,17,0.01
degree,17,0.01
sharply,17,0.01
unexpectedly,17,0.01
shouts,17,0.01
actually,17,0.01
alyona,17,0.01
led,17,0.01
pull,17,0.01
condition,17,0.01
linen,17,0.01
paid,17,0.01
recall,17,0.01
embrace,17,0.01
guilty,17,0.01
flushed,17,0.01
marry,17,0.01
loud,17,0.01
napoleon,17,0.01
crushed,17,0.01
freedom,17,0.01
recognized,17,0.01
ring,17,0.01
deal,17,0.01
leaned,17,0.01
shirt,17,0.01
decidedly,17,0.01
looks,17,0.01
wallpaper,17,0.01
assure,17,0.01
phrase,17,0.01
needed,17,0.01
streets,17,0.01
lenya,17,0.01
hospital,17,0.01
flashing,17,0.01
drank,17,0.01
lazarus,17,0.01
suspicion,17,0.01
closely,17,0.01
gate,17,0.01
pockets,17,0.01
cross,17,0.01
tightly,17,0.01
likely,17,0.01
court,17,0.01
alive,17,0.01
de,17,0.01
moral,17,0.01
perplexity,17,0.01
forced,17,0.01
pension,17,0.01
calling,17,0.01
convictions,17,0.01
e,17,0.01
painfully,17,0.01
rent,17,0.01
served,16,0.01
recent,16,0.01
patient,16,0.01
shed,16,0.01
allowed,16,0.01
tongue,16,0.01
pieces,16,0.01
singing,16,0.01
finding,16,0.01
watching,16,0.01
wept,16,0.01
happens,16,0.01
intention,16,0.01
forgiveness,16,0.01
decide,16,0.01
earrings,16,0.01
c,16,0.01
kolya,16,0.01
organ,16,0.01
carriage,16,0.01
blind,16,0.01
